	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
13	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.11552	50.11552
14	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	49.60669	49.60669
15	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	49.60669	49.60669
16	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	49.60669	49.60669
17		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	49.60669	49.60669
18	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	49.60669	49.60669
19	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.11552	50.11552
20	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	49.60669	49.60669
21	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	49.60669	49.60669
22	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	49.60669	49.60669
23		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.11552	50.11552
24	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	49.60669	49.60669
25	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	49.60669	49.60669
26	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	49.60669	49.60669
27	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.11552	50.11552
28		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.11552	50.11552
29	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	49.60669	49.60669
30		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	49.60669	49.60669
31	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.11552	50.11552
32	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	49.60669	49.60669
33	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.11552	50.11552
34	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	49.60669	49.60669
35	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	49.60669	49.60669
36	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	49.60669	49.60669
37		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	49.60669	49.60669
38	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	49.60669	49.60669
39	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.11552	50.11552
40	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
41	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
42	Etagenwohnung	53	2.0	670	1991	Philippsring 7	55252	Mainz - Kastel, Wiesbaden	/expose/111200238	50.08258	50.08258
43	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
44	Etagenwohnung	81	3.0	990	2006		65474	Bischofsheim, Groß-Gerau (Kreis)	/expose/114529671	49.92139	49.92139
45	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
46	Dachgeschoss	73	2.0	950	1999	Promenadenstraße 8 - 12	64625	Bensheim, Bergstraße (Kreis)	/expose/111846814	49.66694	49.66694
47	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
48	Etagenwohnung	60	1.0	931	2008	Voltastraße 63b	60486	Frankfurt am Main, Bockenheim	/expose/112018391	49.60669	49.60669
49		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
50		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
51	Etagenwohnung	87	3.0	1300	1972	Breslauer Straße 31	65779	Kelkheim, Kelkheim (Taunus)	/expose/114530211	50.13703	50.13703
52	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
53	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
54	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
55	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
56		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
57		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
58	Etagenwohnung	117	4.0	1330			63071	Offenbach, Stadtmitte	/expose/93038886		
59	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
60	Penthouse	170		5375	2019		60322	Frankfurt am Main / Nordend-West, Frankfurt am Main	/expose/112579357	50.11552	50.11552
61		320	5.0	5600			60599	Frankfurt am Main, Oberrad	/expose/109600533		
62	Maisonette	600	15.0	13400	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/98567656	50.12696	50.12696
63	Etagenwohnung	405		11700	2019		60487	Frankfurt am Main, Bockenheim	/expose/113651405	49.60669	49.60669
64	Penthouse	166	3.0	5300	2019		61440	Oberursel / Taunus, Oberursel (Taunus)	/expose/113001587	50.20731	50.20731
65	Etagenwohnung	320	9.0	7600	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/89886750	50.12696	50.12696
66		261		7370	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458111	50.11651	50.11651
67	Maisonette	280		6500			60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/113324779	47.28495	47.28495
68	Penthouse	312	5.0	9350	2002		60323	Frankfurt am Main, Westend-Süd	/expose/114458274	50.11651	50.11651
69	Maisonette	241		6440	1914	Ditmarstraße 9	60487	Frankfurt, Bockenheim	/expose/104293180	49.60669	49.60669
70	Etagenwohnung	225	4.0	6821	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/113405132	50.1168752	50.1168752
71	Penthouse	226	5.0	6615	2015		60311	Frankfurt am Main, Innenstadt	/expose/114448268		
72	Maisonette	277	8.0	5450	1913		65812	Bad Soden, Bad Soden am Taunus	/expose/113165975	50.1408	50.1408
73	Maisonette	170	5.0	5350	2019		60322	Frankfurt, Nordend-West	/expose/113144601	50.12988	50.12988
74	Erdgeschosswohnung	180	4.0	5200	2019		60322	Frankfurt am Main, Nordend-West	/expose/114321292	50.12988	50.12988
75	Maisonette	317	6.0	6750	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217070	50.1789	50.1789
76		257		6770	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458013	50.11651	50.11651
77	Maisonette	168	4.0	5375	2018		60322	Frankfurt am Main, Nordend-West	/expose/114458050	50.12988	50.12988
78	Etagenwohnung	160	4.0	6500			60323	Frankfurt, Westend-Süd	/expose/114002361	50.11651	50.11651
79	Penthouse	601	6.0	20588	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/114421851	50.1168752	50.1168752
80		23	1.0	405	1920	Westanlage 20	35390	Gießen, Gießen (Kreis)	/expose/114546670	50.58727	50.58727
81	Etagenwohnung	24	1.0	395	1870		65428	Rüsselsheim, Rüsselsheim am Main	/expose/114524952	31.40984	31.40984
82	Dachgeschoss	34	2.0	451	1947	Wilhelm-Sturmfels-Straße 5	65428	Rüsselsheim, Rüsselsheim am Main	/expose/114548150	31.40984	31.40984
83		17	1.0	360	1968		60388	Frankfurt, Bergen-Enkheim	/expose/114519643	50.15	50.15
84	Souterrain	20	1.0	380	1971		64546	Mörfelden-W, Mörfelden-Walldorf	/expose/81647910	49.99472	49.99472
85	Erdgeschosswohnung	28	1.0	435	1985		63128	Dietzenbach, Offenbach (Kreis)	/expose/113979065	50.10061	50.10061
86		29	1.0	511	1962	Jaspertstr. 11	60435	Frankfurt am Main, Preungesheim	/expose/114332629	50.1536605	50.1536605
87	Etagenwohnung	29	1.0	470		Ludwigstr. 28	63065	Offenbach, Stadtmitte	/expose/114514901		
88		29	1.0	325	1948	Händelstraße 4	35392	Gießen, Gießen (Kreis)	/expose/114219079	50.58727	50.58727
89	Dachgeschoss	20	1.0	380	1976		63225	Langen, Langen (Hessen)	/expose/114400635	49.98955	49.98955
90	Etagenwohnung	26	1.0	370			63450	Hanau, Main-Kinzig-Kreis	/expose/112669477	50.25	50.25
91		18	1.0	330	1920	Westanlage 20	35390	Gießen, Gießen (Kreis)	/expose/114218956	50.58727	50.58727
92	Etagenwohnung	29	1.0	470		Ludwigstr. 28	63065	Offenbach, Stadtmitte	/expose/114514873		
93		38		415	1971	Fritz-Erler-Strasse 8	63263	Neu-Isenburg, Offenbach (Kreis)	/expose/114543070	50.10061	50.10061
94	Souterrain	33	1.0	440	1973	Schalksbornstr. 0	60388	Frankfurt am Main, Bergen-Enkheim	/expose/73101557	50.15	50.15
95	Etagenwohnung	22	1.0	400	unbekannt		64293	Darmstadt, Darmstadt-Nord	/expose/91727711	50.33333	50.33333
96	Sonstige	20	1.0	270		Usagasse 33	61169	Friedberg, Friedberg (Hessen)	/expose/114486744	48.41722	48.41722
97		20	1.0	300	1900		63067	Offenbach, Kaiserlei	/expose/114155386		
98	Etagenwohnung	21	1.0	425	1920	Hanauerstraße 15	61169	Friedberg, Friedberg (Hessen)	/expose/113480822	48.41722	48.41722
99		20	1.0	395	2019	Altstraße 24	63450	Hanau, Main-Kinzig-Kreis	/expose/106842815	50.1316214	50.1316214
100	Maisonette	190	6.0	4560			60594	Sachsenhausen, Sachsenhausen-Nord	/expose/114070987	50.33333	50.33333
101	Penthouse	200	7.0	3350	unbekannt		61348	Bad Homburg v.d.H., Bad Homburg vor der Höhe	/expose/92399822	50.22683	50.22683
102	Maisonette	600	15.0	13400	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/98567656	50.12696	50.12696
103	Etagenwohnung	203	7.0	5300	1900		60322	Frankfurt am Main / Westend-Nord, Frankfurt am Main	/expose/113898942	50.11552	50.11552
104	Etagenwohnung	340	11.0	3220	1984	Karl Herrmann Flach Str. 15a	61440	Oberursel, Oberursel (Taunus)	/expose/113652947	50.20731	50.20731
105	Dachgeschoss	208	7.0	4600	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217461	50.1789	50.1789
106	Maisonette	172		3350	1887		60594	Frankfurt, Sachsenhausen-Nord	/expose/113355215	50.33333	50.33333
107	Etagenwohnung	320	9.0	7600	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/89886750	50.12696	50.12696
108	Terrassenwohnung	190	7.0	2630	1991	Louisenstraße 121	61348	Bad Homburg, Bad Homburg vor der Höhe	/expose/88933784	50.22683	50.22683
109	Maisonette	280		6500			60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/113324779	47.28495	47.28495
110		135	6.0	1740	1992		65817	Eppstein, Main-Taunus-Kreis	/expose/114003664	50.10972	50.10972
111	Penthouse	250	6.0	3895	1985		60431	Frankfurt, Eschersheim	/expose/114526448		
112	Maisonette	108	6.0	1566	1954		63069	Offenbach am Main, Lauterborn	/expose/114328979		
113	Maisonette	277	8.0	5450	1913		65812	Bad Soden, Bad Soden am Taunus	/expose/113165975	50.1408	50.1408
114	Etagenwohnung	250	7.0	5400			60325	Frankfurt am Main, Westend-Süd	/expose/114458148	50.11651	50.11651
115	Etagenwohnung	200	7.0	3600			60325	Frankfurt, Westend-Süd	/expose/106937651	50.11651	50.11651
116	Maisonette	317	6.0	6750	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217070	50.1789	50.1789
117	Penthouse	179	6.0	2830	2020	Riedstraße 10 a	63225	Langen, Langen (Hessen)	/expose/114497702	49.98955	49.98955
118	Penthouse	601	6.0	20588	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/114421851	50.1168752	50.1168752
119	Etagenwohnung	152	7.0	1550	1980	Finkenweg 6	61197	Florstadt, Wetteraukreis	/expose/114486965	50.36278	50.36278
120	Etagenwohnung	38	1.0	899	unbekannt	Bahnhofplatz 2	55116	Mainz, Altstadt	/expose/114543233	49.07515	49.07515
121		23	1.0	405	1920	Westanlage 20	35390	Gießen, Gießen (Kreis)	/expose/114546670	50.58727	50.58727
122	Etagenwohnung	17	1.0	830		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534602	50.12597	50.12597
123		30	1.0	590	1968	Rohrbachstrasse 37	60389	Frankfurt am Main, Nordend-Ost	/expose/114548535	50.12597	50.12597
124		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
125	Dachgeschoss	60	1.0	930	1900	Auf der Beun -	65933	Frankfurt, Griesheim	/expose/114546281	49.86085	49.86085
126	Etagenwohnung	23	1.0	630	unbekannt	Bahnhofplatz 2	55116	Mainz, Altstadt	/expose/114543229	49.07515	49.07515
127	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
128	Etagenwohnung	16	1.0	800		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534601	50.12597	50.12597
129	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
130	Erdgeschosswohnung	27	1.0	417	1967		63303	Dreieich, Offenbach (Kreis)	/expose/114538815	50.10061	50.10061
131		21	1.0	560	1960	Berger Strasse 128	60385	Frankfurt am Main, Bornheim	/expose/114548392	50.76313	50.76313
132		26	1.0	765		Gräfstraße 76	60486	Francoforte, Westend-Süd	/expose/114541249	50.11651	50.11651
133	Erdgeschosswohnung	21	1.0	590			60438	Frankfurt am Main, Riedberg	/expose/114548138		
134	Etagenwohnung	38	1.0	899	unbekannt	Bahnhofplatz 2	55116	Mainz, Altstadt	/expose/114543237	49.07515	49.07515
135	Etagenwohnung	38	1.0	580		Beienheimer Str. 10	61169	Friedberg, Friedberg (Hessen)	/expose/114544558	48.41722	48.41722
136	Etagenwohnung	36	1.0	819	1970		55116	Mainz, Altstadt	/expose/114543226	49.07515	49.07515
137		30	1.0	680	1968	Rohrbachstrasse 37	60389	Frankfurt am Main, Nordend-Ost	/expose/114548440	50.12597	50.12597
138	Etagenwohnung	35	1.0	850	1970		55116	Mainz, Altstadt	/expose/114543235	49.07515	49.07515
139	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
140		320	5.0	5600			60599	Frankfurt am Main, Oberrad	/expose/109600533		
141	Maisonette	321	5.0	5500	1956		60311	Frankfurt, Altstadt	/expose/114088877	49.07515	49.07515
142	Maisonette	600	15.0	13400	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/98567656	50.12696	50.12696
143	Etagenwohnung	340	11.0	3220	1984	Karl Herrmann Flach Str. 15a	61440	Oberursel, Oberursel (Taunus)	/expose/113652947	50.20731	50.20731
144	Etagenwohnung	321	5.0	5470	1956		60311	Frankfurt, Altstadt	/expose/114481259	49.07515	49.07515
145	Etagenwohnung	405		11700	2019		60487	Frankfurt am Main, Bockenheim	/expose/113651405	49.60669	49.60669
146	Penthouse	267	4.0	4050	2005		60320	Frankfurt am Main, Dornbusch	/expose/114457849		
147	Etagenwohnung	320	9.0	7600	1900	Auf der Körnerwiese 17-19	60322	Frankfurt am Main, Westend-Nord	/expose/89886750	50.12696	50.12696
148		261		7370	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458111	50.11651	50.11651
149	Etagenwohnung	276	4.0	4190	2007		60320	Frankfurt, Westend-Nord	/expose/114481258	50.12696	50.12696
150	Maisonette	280		6500			60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/113324779	47.28495	47.28495
151	Penthouse	312	5.0	9350	2002		60323	Frankfurt am Main, Westend-Süd	/expose/114458274	50.11651	50.11651
152	Penthouse	250	6.0	3895	1985		60431	Frankfurt, Eschersheim	/expose/114526448		
153	Maisonette	277	8.0	5450	1913		65812	Bad Soden, Bad Soden am Taunus	/expose/113165975	50.1408	50.1408
154	Etagenwohnung	250	7.0	5400			60325	Frankfurt am Main, Westend-Süd	/expose/114458148	50.11651	50.11651
155	Etagenwohnung	285	5.0	3800			63303	Dreieich, Offenbach (Kreis)	/expose/114089609	50.10061	50.10061
156	Maisonette	317	6.0	6750	1906		61476	Kronberg, Kronberg im Taunus	/expose/114217070	50.1789	50.1789
157		257		6770	2017		60325	Frankfurt am Main, Westend-Süd	/expose/114458013	50.11651	50.11651
158	Penthouse	267	4.0	4050	2005		60320	Frankfurt am Main, Westend-Nord	/expose/114457882	50.12696	50.12696
159	Penthouse	601	6.0	20588	unbekannt	Hochstraße 42-46	60322	Frankfurt am Main, Innenstadt	/expose/114421851	50.1168752	50.1168752
160	Etagenwohnung	12	1.0	760		Braubachstraße 25	60311	Frankfurt, Altstadt	/expose/114534422	49.07515	49.07515
161	Etagenwohnung	15	1.0	790		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533901	50.12597	50.12597
162	Etagenwohnung	11	1.0	750		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114010296	50.12597	50.12597
163	Etagenwohnung	15	1.0	790		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114010375	50.12597	50.12597
164	Etagenwohnung	13	1.0	760		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534599	50.12597	50.12597
165	Etagenwohnung	16	1.0	730		Kleine Rittergasse 43	60594	Frankfurt, Sachsenhausen-Nord	/expose/114534532	50.1055828	50.1055828
166	Etagenwohnung	12	1.0	770		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533912	50.12597	50.12597
167	Etagenwohnung	10	1.0	620		Münchener Straße 55	60329	Frankfurt, Bahnhofsviertel	/expose/114534257	50.1084259	50.1084259
168	Etagenwohnung	16	1.0	800		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114534601	50.12597	50.12597
169	Etagenwohnung	15	1.0	740		Mainzer Landstraße 258	60389	Frankfurt, Gallusviertel	/expose/114534037	50.1033584	50.1033584
170	Etagenwohnung	15	1.0	790		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114079184	50.12597	50.12597
171	Etagenwohnung	12	1.0	679	2019		60486	Frankfurt am Main, Westend-Süd	/expose/114044791	50.11651	50.11651
172	Etagenwohnung	14	1.0	590	1989	Hausener Weg 120	60488	Frankfurt am Main, Hausen	/expose/111890933	49.68945	49.68945
173	Etagenwohnung	13	1.0	780		Wallstraße 26	60594	Frankfurt, Sachsenhausen-Nord	/expose/114534431	50.1050511	50.1050511
174	Etagenwohnung	12	1.0	770		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114010287	50.12597	50.12597
175	Etagenwohnung	13	1.0	770		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533870	50.12597	50.12597
176	Etagenwohnung	11	1.0	750		Schleiermacherstraße 10	60316	Frankfurt, Nordend-Ost	/expose/114533828	50.12597	50.12597
177	Etagenwohnung	11	1.0	750		Braubachstraße 25	60311	Frankfurt, Altstadt	/expose/114534397	49.07515	49.07515
178	Etagenwohnung	15	1.0	740		Petterweilstraße 31	60385	Frankfurt, Nordend-Ost	/expose/114534373	50.12597	50.12597
179	Sonstige	15	1.0	650		Mittlerer Hasenpfad 37	60598	Frankfurt am Main, Sachsenhausen-Süd	/expose/114515278	47.28495	47.28495
180	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
181	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
182	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
183	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
184		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
185	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
186	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
187	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
188	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
189		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
190		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
191		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
192	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
193	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
194	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
195	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
196	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
197		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
198		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
199	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
200	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
201	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
202	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
203	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
204		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
205	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
206	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
207	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
208	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
209		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
210		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
211		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
212	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
213	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
214	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
215	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
